time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
11.4515	6.02125	-7.46829	-0.757946
11.4615	6.02916	-7.46353	-0.762829
11.4715	6.03698	-7.45882	-0.767746
11.4815	6.04471	-7.45414	-0.772696
11.4915	6.05236	-7.44949	-0.77768
11.5015	6.05993	-7.44488	-0.782696
11.5115	6.06741	-7.44031	-0.787745
11.5215	6.0748	-7.43577	-0.792827
11.5315	6.0821	-7.43127	-0.797941
11.5415	6.08931	-7.4268	-0.803087
11.5515	6.09642	-7.42238	-0.808266
11.5615	6.10345	-7.41799	-0.813476
11.5715	6.11038	-7.41364	-0.818718
11.5815	6.11721	-7.40934	-0.82399
11.5915	6.12395	-7.40507	-0.829293
11.6015	6.1306	-7.40084	-0.834627
11.6115	6.13714	-7.39665	-0.83999
11.6215	6.14359	-7.3925	-0.845382
11.6315	6.14993	-7.3884	-0.850804
11.6415	6.15618	-7.38433	-0.856254
11.6515	6.16233	-7.38031	-0.861733
11.6615	6.16837	-7.37633	-0.867239
11.6715	6.17431	-7.37239	-0.872773
11.6815	6.18015	-7.36849	-0.878333
11.6915	6.18588	-7.36464	-0.88392
11.7015	6.19151	-7.36084	-0.889533
11.7115	6.19704	-7.35707	-0.895171
11.7215	6.20246	-7.35335	-0.900833
11.7315	6.20777	-7.34968	-0.906519
11.7415	6.21297	-7.34605	-0.91223
11.7515	6.21807	-7.34247	-0.917962
11.7615	6.22306	-7.33894	-0.923718
11.7715	6.22795	-7.33545	-0.929495
11.7815	6.23272	-7.332	-0.935291
11.7915	6.23739	-7.32861	-0.941106
11.8015	6.24194	-7.32526	-0.946939
11.8115	6.24639	-7.32195	-0.952787
11.8215	6.25072	-7.3187	-0.958653
11.8315	6.25495	-7.31549	-0.964537
11.8415	6.25906	-7.31234	-0.970439
11.8515	6.26307	-7.30923	-0.976354
11.8615	6.26696	-7.30618	-0.982284
11.8715	6.27074	-7.30317	-0.988227
11.8815	6.27441	-7.30022	-0.994181
11.8915	6.27796	-7.29731	-1.00014
11.9015	6.2814	-7.29446	-1.00612
11.9115	6.28473	-7.29166	-1.0121
11.9215	6.28795	-7.28892	-1.0181
11.9315	6.29105	-7.28623	-1.0241
11.9415	6.29404	-7.28359	-1.03011
11.9515	6.29692	-7.281	-1.03613
11.9615	6.29968	-7.27847	-1.04215
11.9715	6.30234	-7.27599	-1.04817
11.9815	6.30488	-7.27357	-1.0542
11.9916	6.3073	-7.27121	-1.06023
12.0016	6.30961	-7.2689	-1.06626
12.0116	6.31181	-7.26665	-1.07228
12.0216	6.31389	-7.26445	-1.0783
12.0316	6.31586	-7.26232	-1.08432
12.0416	6.31772	-7.26024	-1.09033
12.0516	6.31946	-7.25823	-1.09633
12.0616	6.32109	-7.25627	-1.10234
12.0716	6.3226	-7.25437	-1.10833
12.0816	6.32401	-7.25254	-1.11431
12.0916	6.32529	-7.25076	-1.12029
12.1016	6.32647	-7.24905	-1.12625
12.1116	6.32752	-7.2474	-1.13221
12.1216	6.32846	-7.24582	-1.13814
12.1316	6.32929	-7.24429	-1.14406
12.1416	6.33001	-7.24283	-1.14996
12.1516	6.33062	-7.24144	-1.15584
12.1616	6.33111	-7.2401	-1.16171
12.1716	6.33149	-7.23884	-1.16755
12.1816	6.33175	-7.23764	-1.17338
12.1916	6.3319	-7.23651	-1.17918
12.2016	6.33194	-7.23545	-1.18496
12.2116	6.33187	-7.23445	-1.19072
12.2216	6.33167	-7.23352	-1.19645
12.2316	6.33136	-7.23267	-1.20215
12.2416	6.33095	-7.23188	-1.20782
12.2516	6.33041	-7.23117	-1.21346
12.2616	6.32974	-7.23053	-1.21909
12.2716	6.32898	-7.22996	-1.22467
12.2816	6.3281	-7.22947	-1.23022
12.2916	6.3271	-7.22904	-1.23574
12.3016	6.32599	-7.22869	-1.24122
12.3116	6.32477	-7.22841	-1.24666
12.3216	6.32343	-7.22821	-1.25207
12.3316	6.32198	-7.22809	-1.25744
12.3416	6.32042	-7.22804	-1.26277
12.3516	6.31874	-7.22806	-1.26807
12.3616	6.31695	-7.22817	-1.27331
12.3716	6.31505	-7.22835	-1.27852
12.3816	6.31304	-7.22861	-1.28369
12.3916	6.31091	-7.22895	-1.28881
12.4016	6.30866	-7.22936	-1.29389
12.4116	6.3063	-7.22986	-1.29892
12.4216	6.30383	-7.23044	-1.3039
12.4316	6.30124	-7.2311	-1.30884
12.4416	6.29854	-7.23184	-1.31373
12.4516	6.29572	-7.23267	-1.31857
12.4616	6.29279	-7.23357	-1.32336
12.4716	6.28975	-7.23456	-1.3281
12.4816	6.28659	-7.23564	-1.33278
12.4916	6.28332	-7.23679	-1.33742
12.5016	6.27993	-7.23804	-1.342
12.5116	6.27644	-7.23936	-1.34654
12.5216	6.27282	-7.24077	-1.35101
12.5316	6.2691	-7.24226	-1.35544
12.5416	6.26527	-7.24384	-1.35981
12.5516	6.26132	-7.24551	-1.36412
12.5616	6.25726	-7.24726	-1.36838
